Serial No,Coin,Price,1h Change,24h Change,7d Change,24h Volume,Market Cap
75,Lombard Staked BTC LBTC,"$104,782",0.4%,0.2%,0.0%,,"$7,185,761"
76,Kelp DAO Restaked ETH RSETH,"$3,410.40",0.0%,0.2%,2.7%,,"$3,016,326"
77,First Digital USD FDUSD,$0.9988,0.1%,0.5%,0.3%,,"$2,664,482,012"
78,The Graph GRT,$0.1864,0.0%,2.4%,10.2%,,"$64,435,305"
79,XDC Network XDC,$0.1104,0.5%,2.8%,13.4%,,"$49,055,879"
80,Sonic (prev. FTM) S,$0.538,0.3%,0.6%,11.2%,,"$120,556,751"
81,Rocket Pool ETH RETH,"$3,691.28",0.1%,0.3%,3.0%,,"$12,383,274"
82,Fasttoken FTN,$3.90,0.1%,0.1%,2.2%,,"$53,287,346"
83,KuCoin KCS,$13.13,0.5%,0.1%,22.2%,,"$81,603.48"
84,Movement MOVE,$0.6989,0.5%,2.5%,6.5%,,"$108,887,662"
85,sUSDS SUSDS,$1.03,0.1%,0.2%,0.3%,,"$1,868,941"
86,Mantle Staked Ether METH,"$3,472.51",0.3%,0.2%,2.1%,,"$16,965,501"
87,Sei SEI,$0.3468,0.2%,1.9%,5.1%,,"$86,803,929"
88,Quant QNT,$105.31,0.1%,2.4%,2.4%,,"$35,161,957"
89,Pudgy Penguins PENGU,$0.02414,0.0%,7.7%,10.8%,,"$207,625,170"
90,Onyxcoin XCN,$0.04709,5.4%,79.4%,394.9%,,"$1,648,978,219"
91,Flare FLR,$0.02601,0.4%,2.3%,11.3%,,"$8,707,275"
92,NEXO NEXO,$1.44,0.1%,1.5%,8.6%,,"$10,210,041"
93,Solv Protocol SolvBTC SOLVBTC,"$104,450",0.1%,0.6%,0.1%,,"$9,572,850"
94,GALA GALA,$0.03228,0.4%,0.7%,9.1%,,"$71,726,512"
95,Marinade Staked SOL MSOL,$318.89,0.4%,1.9%,5.6%,,"$27,793,391"
96,The Sandbox SAND,$0.5571,0.0%,0.7%,5.2%,,"$82,083,328"
97,FLOKI FLOKI,$0.0001368,0.2%,0.2%,12.9%,,"$135,039,423"
98,JasmyCoin JASMY,$0.02719,0.2%,1.0%,6.5%,,"$71,636,853"
99,dogwifhat WIF,$1.26,0.3%,1.1%,23.1%,,"$190,215,008"
100,Usual USD USD0,$0.9979,0.1%,0.3%,0.0%,,"$23,830,424"
101,Fartcoin FARTCOIN,$1.23,2.8%,4.3%,38.7%,,"$218,937,862"
102,EOS EOS,$0.7998,0.3%,0.2%,7.5%,,"$120,574,138"
103,Tezos XTZ,$1.17,0.5%,1.1%,8.1%,,"$23,850,735"
104,Kaia KAIA,$0.2042,0.0%,1.1%,8.1%,,"$10,430,804"
105,IOTA IOTA,$0.3262,0.2%,2.1%,8.4%,,"$21,844,038"
106,DeXe DEXE,$19.84,0.8%,3.6%,15.5%,,"$25,418,000"
107,Pyth Network PYTH,$0.3118,0.3%,0.0%,6.5%,,"$37,885,041"
108,Ethereum Name Service ENS,$33.87,0.2%,0.0%,3.9%,,"$53,599,824"
109,SPX6900 SPX,$1.19,0.7%,1.0%,9.3%,,"$31,004,410"
110,Maker MKR,"$1,234.44",0.2%,1.3%,5.9%,,"$132,281,911"
111,Solv Protocol SolvBTC.BBN SOLVBTC.BBN,"$103,914",0.1%,0.7%,0.6%,,"$5,446,148"
112,Flow FLOW,$0.6832,0.2%,0.9%,3.8%,,"$21,374,314"
113,BitTorrent BTT,$0.051072,0.4%,0.2%,0.8%,,"$26,530,838"
114,Bitcoin SV BSV,$51.88,0.1%,0.7%,2.7%,,"$20,421,134"
115,Curve DAO CRV,$0.8045,0.3%,0.3%,7.8%,,"$142,875,584"
116,NEO NEO,$14.07,0.1%,1.5%,5.3%,,"$17,797,187"
117,Jupiter Staked SOL JUPSOL,$273.44,0.4%,2.3%,5.2%,,"$15,717,709"
118,Arweave AR,$14.53,0.7%,1.5%,8.9%,,"$23,086,386"
119,Renzo Restaked ETH EZETH,"$3,410.05",0.1%,0.2%,2.6%,,"$4,376,933"
120,Beam BEAM,$0.01725,0.3%,4.2%,21.1%,,"$49,995,521"
121,Axie Infinity AXS,$5.73,0.1%,0.7%,4.3%,,"$31,348,227"
122,THORChain RUNE,$2.56,1.3%,18.9%,27.6%,,"$694,811,934"
123,Starknet STRK,$0.3722,0.3%,3.3%,6.8%,,"$54,327,287"
