Serial No,Coin,Price,1h Change,24h Change,7d Change,24h Volume,Market Cap
116,NEO NEO,$14.08,0.1%,1.6%,5.2%,,"$17,821,971"
117,Jupiter Staked SOL JUPSOL,$273.30,0.4%,2.2%,5.3%,,"$15,710,177"
118,Arweave AR,$14.53,0.6%,1.5%,8.9%,,"$23,340,393"
119,Renzo Restaked ETH EZETH,"$3,408.66",0.1%,0.2%,2.6%,,"$2,912,180"
120,Beam BEAM,$0.01725,0.3%,4.1%,21.1%,,"$50,004,741"
121,Axie Infinity AXS,$5.73,0.1%,0.7%,4.2%,,"$31,353,580"
122,THORChain RUNE,$2.56,1.1%,19.1%,27.5%,,"$694,873,002"
123,Starknet STRK,$0.3724,0.4%,3.5%,6.7%,,"$54,162,413"
124,Binance-Peg Dogecoin DOGE,$0.3514,0.2%,1.1%,6.3%,,"$2,257,678"
126,ai16z AI16Z,$0.7998,1.4%,3.4%,21.3%,,"$127,726,124"
125,Decentraland MANA,$0.4712,0.2%,0.4%,4.0%,,"$53,299,967"
127,AIOZ Network AIOZ,$0.7563,0.5%,2.6%,15.4%,,"$8,876,975"
128,Arbitrum Bridged WBTC (Arbitrum One) WBTC,"$104,238",0.1%,0.2%,0.4%,,"$69,667,605"
129,ether.fi Staked ETH EETH,"$3,290.42",0.3%,0.7%,4.2%,,"$126,110"
130,MultiversX EGLD,$30.31,0.1%,1.2%,9.6%,,"$17,839,823"
131,Brett BRETT,$0.08516,0.6%,1.4%,18.3%,,"$26,544,601"
132,Wrapped BNB WBNB,$685.65,0.0%,0.3%,0.6%,,"$115,694,345"
133,dYdX DYDX,$1.15,0.2%,0.9%,7.2%,,"$27,505,513"
134,Jito JTO,$2.86,0.5%,3.4%,10.9%,,"$54,975,784"
135,Polygon MATIC,$0.4334,0.5%,0.4%,5.4%,,"$4,840,196"
136,Core CORE,$0.8259,0.1%,1.0%,7.5%,,"$26,097,159"
137,USDD USDD,$0.998,0.1%,0.2%,0.1%,,"$2,773,076"
138,Aerodrome Finance AERO,$0.9986,0.0%,1.4%,15.9%,,"$34,204,531"
139,Mantle Restaked ETH CMETH,"$3,476.95",0.1%,0.0%,2.1%,,"$8,566,429"
140,Zcash ZEC,$46.50,0.1%,0.8%,4.8%,,"$95,530,287"
141,Conflux CFX,$0.15,0.5%,0.4%,4.0%,,"$33,409,999"
142,L2 Standard Bridged WETH (Base) WETH,"$3,299.14",0.1%,0.2%,2.7%,,"$676,415,743"
143,ApeCoin APE,$0.9831,0.1%,1.6%,4.2%,,"$74,493,165"
144,Chiliz CHZ,$0.07495,0.0%,2.4%,5.4%,,"$36,407,088"
145,Arbitrum Bridged WETH (Arbitrum One) WETH,"$3,299.23",0.1%,0.2%,2.6%,,"$232,868,503"
146,Helium HNT,$3.88,0.1%,2.4%,24.6%,,"$9,872,156"
147,Ether.fi Staked BTC EBTC,"$104,154",0.0%,0.3%,0.2%,,"$1,275,087"
148,Reserve Rights RSR,$0.01242,0.1%,0.2%,9.9%,,"$43,794,326"
149,Tether Gold XAUT,"$2,756.66",0.1%,0.1%,2.5%,,"$4,783,769"
150,Akash Network AKT,$2.73,0.1%,0.3%,6.5%,,"$5,504,174"
151,Amp AMP,$0.007929,0.9%,3.8%,4.3%,,"$59,829,733"
152,Morpho MORPHO,$3.06,0.2%,6.1%,15.9%,,"$55,084,407"
153,eCash XEC,$0.0000334,0.0%,2.3%,2.1%,,"$29,975,785"
154,Compound COMP,$74.08,0.8%,0.5%,7.6%,,"$40,601,833"
155,Eigenlayer EIGEN,$2.77,0.3%,0.8%,4.0%,,"$87,664,955"
156,Frax FRAX,$0.9968,0.0%,0.3%,0.1%,,"$6,141,389"
157,DeepBook DEEP,$0.2562,0.8%,3.3%,10.5%,,"$26,312,641"
158,Wormhole W,$0.2242,0.2%,0.4%,6.2%,,"$32,036,423"
159,MEOW MEOW,$0.007011,0.3%,11.8%,42.9%,,"$1,055,778"
160,usdx.money USDX USDX,$0.9995,0.0%,0.4%,0.5%,,"$1,769,300"
161,Pendle PENDLE,$3.73,0.1%,3.3%,0.2%,,"$51,668,400"
162,Ronin RON,$1.61,0.2%,0.3%,5.3%,,"$17,566,790"
163,PancakeSwap CAKE,$2.10,0.3%,0.4%,7.0%,,"$34,839,288"
164,Ultima ULTIMA,"$14,089.76",0.2%,0.4%,47.0%,,"$5,560,750"
165,pumpBTC PUMPBTC,"$101,228",0.1%,0.2%,7.1%,,"$24,160.31"
166,Gigachad GIGA,$0.06239,1.5%,1.3%,2.9%,,"$22,733,149"
167,Mina Protocol MINA,$0.4901,0.0%,1.3%,9.9%,,"$19,842,202"
168,Gnosis GNO,$226.43,0.5%,0.3%,2.2%,,"$7,648,768"
169,Resolv USR USR,$0.999,0.0%,0.3%,0.1%,,"$13,766,778"
170,Axelar AXL,$0.6346,0.2%,0.9%,3.4%,,"$11,330,974"
171,PAX Gold PAXG,"$2,763.24",0.0%,0.1%,2.8%,,"$10,057,836"
172,ZKsync ZK,$0.1506,0.1%,0.4%,8.6%,,"$40,317,322"
173,Toshi TOSHI,$0.001304,1.5%,92.1%,232.1%,,"$802,386,868"
174,Synthetix Network SNX,$1.59,0.0%,1.5%,6.8%,,"$37,145,573"
175,Avalanche Bridged BTC (Avalanche) BTC.B,"$104,490",0.0%,0.2%,0.1%,,"$25,304,900"
176,Mog Coin MOG,$0.051376,0.7%,3.5%,15.8%,,"$23,587,921"
177,Echelon Prime PRIME,$10.08,0.3%,1.3%,23.0%,,"$8,580,109"
178,Coinbase Wrapped Staked ETH CBETH,"$3,582.92",0.1%,0.2%,2.6%,,"$9,634,239"
179,Beldex BDX,$0.0767,0.3%,2.6%,3.3%,,"$4,799,464"
180,aixbt by Virtuals AIXBT,$0.6154,0.8%,2.5%,19.6%,,"$125,123,363"
181,INSURANCE INSURANCE,$27.94,0.3%,1.9%,11.5%,,"$45,033.78"
182,Telcoin TEL,$0.006642,0.8%,1.7%,7.5%,,"$2,384,146"
183,dYdX ETHDYDX,$1.15,0.1%,0.7%,7.2%,,"$46,870,401"
184,StakeStone Berachain Vault Token BERASTONE,"$3,294.74",0.2%,0.4%,2.3%,,"$5,240,471"
185,Notcoin NOT,$0.004985,0.2%,3.2%,9.1%,,"$29,363,817"
187,CHEX Token CHEX,$0.5025,0.9%,1.2%,0.1%,,"$2,284,231"
186,Snek SNEK,$0.006727,0.2%,1.8%,19.9%,,"$2,683,016"
188,APENFT NFT,$0.065039,0.2%,1.6%,4.0%,,"$26,512,103"
189,Grass GRASS,$2.02,0.7%,8.8%,16.6%,,"$37,295,304"
190,TrueUSD TUSD,$0.9976,0.1%,0.3%,0.2%,,"$23,184,999"
191,Kava KAVA,$0.451,0.3%,0.5%,2.1%,,"$14,464,028"
193,Newton Project NEW,$0.01154,7.5%,84.6%,1173.1%,,"$17,076,117"
192,PayPal USD PYUSD,$1.00,0.0%,0.1%,0.1%,,"$13,857,013"
194,Frax Ether FRXETH,"$3,290.16",0.1%,0.9%,3.6%,,"$1,839,111"
195,VeThor VTHO,$0.005479,1.7%,6.3%,121.1%,,"$141,968,327"
196,Polygon PoS Bridged WETH (Polygon POS) WETH,"$3,298.86",0.0%,0.0%,2.6%,,"$17,535,499"
197,tBTC TBTC,"$104,535",0.1%,0.1%,0.2%,,"$7,450,741"
198,SuperVerse SUPER,$1.00,0.4%,1.5%,13.2%,,"$20,480,417"
199,Terra Luna Classic LUNC,$0.00008177,0.3%,2.7%,10.8%,,"$15,763,793"
200,Livepeer LPT,$11.96,0.2%,1.2%,7.3%,,"$27,022,361"
201,1inch 1INCH,$0.319,0.3%,4.1%,9.6%,,"$23,301,824"
202,Trust Wallet TWT,$1.07,0.1%,2.9%,7.6%,,"$18,928,239"
204,Kusama KSM,$27.50,0.4%,2.3%,6.7%,,"$9,643,127"
203,Stader ETHx ETHX,"$3,440.97",0.2%,0.4%,2.3%,,"$222,156"
205,Oasis ROSE,$0.06504,0.7%,3.6%,11.1%,,"$24,647,401"
206,Safe SAFE,$0.8296,0.1%,3.6%,5.2%,,"$12,765,799"
207,Theta Fuel TFUEL,$0.06355,0.1%,1.4%,1.6%,,"$4,336,653"
208,Arkham ARKM,$1.23,0.9%,1.2%,4.9%,,"$50,231,315"
209,Swell Ethereum SWETH,"$3,556.30",0.2%,0.1%,2.3%,,"$983,505"
210,Blur BLUR,$0.1989,0.4%,3.5%,4.0%,,"$19,770,346"
212,QuantixAI QAI,$88.43,0.2%,0.2%,0.1%,,"$1,796,494"
213,LayerZero ZRO,$3.85,0.3%,1.6%,10.9%,,"$36,636,835"
